Name,Longitude,Latitude,Label,Sub label
Centre George Pompidou,48.8504227,2.2962645,Museum,
Cité des sciences et de l'industrie,48.8955983,2.3857109,Museum,
Louvres,48.9628657,2.2928462,Museum,
Musée des arts et métiers,48.8666392,2.3532496,Museum,
Musée d'Orsay,8.8599614,2.3243727,Museum,
Musée national d'histoire naturelle,48.8398075,2.1604688,Museum,
Parc de la vilette,48.8938489,2.3880713,Museum,
Arc de triomphe,48.8737917,2.2928388,Monument,
Conciergerie,48.8560114,2.3433066,Monument,
Tour eiffel,48.8583701,2.2922926,Monument,
Grand palais,48.866109,2.3102657,Monument,
Invalides,48.8661087,2.3036996,Monument,
Palais Garnier,8.8719697,2.3294127,Monument,
Panthéon,48.8462218,2.3442251,Monument,
Place des Vosges,48.8556114,2.3633379,Monument,
Place Vendôme,48.8675839,2.3271569,Monument,
Sacré coeur,48.8867046,2.3409156,Churche,
Cimetière de Montmartre,48.8879078,2.3276957,Churche,
Notre Dame,48.8879064,2.3123748,Churche,
Cimetière du père Lachaise,48.8735755,2.3748589,Churche,
Sainte-chapelle,48.85542,2.3427983,Churche,
St Eustache,48.8632001,2.343421,Churche,
La Madeleine,48.8677514,2.3232287,Churche,
Mosqué de Paris,48.8418416,2.3529833,Churche,
Palace of Versailles,48.8048649,2.1181667,Monument,
Saint Denis Basilica,48.9354612,2.3576467,Monument,
Château de Fontainebleau,48.4020962,2.6973071,Monument,
Château de Vaux-le-Vicomte,48.565812,2.7119463,Monument,
Château de Vincennes ,48.8425682,2.4333048,Monument,
Château Villette ,49.0317918,1.9375722,Monument,
Parc de Sceaux,48.767526,2.2943613,Monument,
La Défense,48.8909964,2.2346106,Neighborhoud,
Cathédrale Saint-Maclou de Pontoise,49.0505845,2.0947452,Monument,
Disneyland Paris Resort,48.8546445,2.7663787,Entertainment,
Parc Astérix,49.1319801,2.5694415,Entertainment,
Stade de France ,48.9244592,2.3579758,Entertainment,
Montmartre,48.886191,2.32558,Neighborhoud,
The Sorbonne,48.856614,2.3500332,Monument,University
Statue de la Liberté Paris,48.8500348,2.2775196,Monument,
Flame of Liberty,48.8641901,2.2987092,Monument,
Pasteur Institute,48.8403734,2.3090601,Museum,
Arab World Institute,48.8418416,2.3529833,Museum,
Bercy Arena,48.8385379,2.3763955,Entertainment,
Cité internationale universitaire de Paris,48.8196806,2.3361027,Monument,
Musée Mendjisky,48.8388889,2.3000335,Museum,
Opéra Bastille,48.8524383,2.3680148,Entertainment,
Palais de Chaillot ,48.8640486,2.2849154,Outdoor,Square
Palais de la Porte Dorée ,48.8351128,2.406983,Museum,
Palais de Tokyo ,48.864203,2.2949027,Museum,
Palais d'Iéna,48.8643266,2.2909069,Monument,
Salle Pleyel ,48.8769586,2.298974,Entertainment,
La Samaritaine,48.8592093,2.3397661,,
Théâtre des Champs-Élysées ,48.8656847,2.300998,,
Tour Montparnasse,48.8421379,2.3197627,,
World Heritage Centre ,48.8494517,2.3037492,,
Centre national d'art et de culture Georges-Pompidou,48.860642,2.3500563,,
Les Echelles du Baroque,48.836894,2.318228,,
,,,,
Église Notre-Dame-de-l'Arche-d'Alliance,48.8366667,2.3064224,,
Louvre Pyramid,48.8610135,2.3336696,,
Parc André-Citroën,48.840971,2.2731865,,
Outside shell Ministère de la Culture,48.8625166,2.3366758,,
Cinémathèque française,48.8372222,2.3803113,,
Fondation Cartier pour l'art contemporain,48.8372917,2.3297264,,
Bibliothèque nationale de France,48.8608252,2.2278548,,
Musée du quai Branly,48.8608889,2.2957053,,
Cité de la mode et du design,48.8407015,2.367973,,
Louis Vuitton Foundation,48.8764725,2.2612166,,
Philharmonie de Paris,48.8895311,2.3913403,,
